玩法,档位,价格元/计时按小时,情景,模型,期望毛W/元,估算净W/元,毛中位,毛P10,毛P90,200局结单率,平均局数,备注
白嫖单,9次上限,1688.0,pressure,white,5.220741,4.077141,4.724552,2.751169,8.42517,1.0,24.834167,
白嫖单,9次上限,1688.0,base,white,6.285292,5.222537,6.087532,3.344296,9.478331,1.0,22.136167,
白嫖单,9次上限,1688.0,search,white,7.313746,6.296662,7.76984,4.845964,8.838314,1.0,20.234167,
白嫖单,无限次数,2888.0,pressure,white,3.297278,2.575323,2.983724,1.762998,5.253463,1.0,26.825667,
白嫖单,无限次数,2888.0,base,white,4.203105,3.492621,3.897984,2.174511,6.658153,1.0,25.325833,
白嫖单,无限次数,2888.0,search,white,6.449241,5.552016,5.934703,3.213026,10.410214,1.0,30.5555,
九九归一,基础版,488.0,pressure,nine,17.597285,13.726583,17.368487,12.61569,22.78431,1.0,24.337333,
九九归一,基础版,488.0,base,nine,11.586021,9.630877,11.121094,7.607755,16.110146,1.0,11.767,
九九归一,基础版,488.0,search,nine,9.408216,8.104378,8.837616,5.895564,13.767448,1.0,7.485,
九九归一,进阶版,888.0,pressure,nine,15.325676,11.962478,15.189466,11.88229,18.884243,1.0,38.462,
九九归一,进阶版,888.0,base,nine,9.86709,8.201515,9.686202,7.09118,12.822869,1.0,18.217667,
九九归一,进阶版,888.0,search,nine,7.823428,6.736146,7.521435,5.28847,10.770446,1.0,11.369,
九九归一,困难版,1488.0,pressure,nine,22.848324,17.827597,22.74529,18.546212,27.238996,0.999833,96.264333,
九九归一,困难版,1488.0,base,nine,12.604181,10.474601,12.530488,9.770072,15.607626,1.0,39.0965,
九九归一,困难版,1488.0,search,nine,9.192314,7.914639,9.031178,6.832828,11.826527,1.0,22.384,
秋日限定保底,轻享1,79.0,pressure,fixed,20.238485,15.812735,19.041506,11.685635,30.248093,1.0,4.496,
秋日限定保底,轻享1,79.0,base,fixed,15.758987,13.102539,14.730193,9.884265,23.657665,1.0,2.584,
秋日限定保底,轻享1,79.0,search,fixed,13.894314,11.959839,13.442836,8.742792,19.642852,1.0,1.807333,
秋日限定保底,轻享2,148.0,pressure,fixed,13.980335,10.912332,13.622693,9.413793,20.177385,1.0,5.844833,
秋日限定保底,轻享2,148.0,base,fixed,11.332939,9.422075,11.200555,7.679962,15.518555,1.0,3.484833,
秋日限定保底,轻享2,148.0,search,fixed,10.312834,8.880722,9.972573,7.228673,14.099339,1.0,2.501333,
秋日限定保底,轻享3,268.0,pressure,fixed,12.075171,9.438099,11.677824,8.76603,15.953333,1.0,9.072667,
秋日限定保底,轻享3,268.0,base,fixed,10.717899,8.911614,10.516164,8.672419,13.233704,1.0,5.964167,
秋日限定保底,轻享3,268.0,search,fixed,9.903111,8.532083,9.697869,8.092921,11.92656,1.0,4.319,
秋日限定保底,轻享4,399.0,pressure,fixed,11.0256,8.615292,10.74697,8.811029,13.597463,1.0,12.361333,
秋日限定保底,轻享4,399.0,base,fixed,9.819547,8.16255,9.653978,8.301718,11.598418,1.0,8.153,
秋日限定保底,轻享4,399.0,search,fixed,9.186871,7.914189,9.068741,8.002651,10.534519,1.0,5.974833,
秋日限定保底,轻享5,688.0,pressure,fixed,10.856381,8.475248,10.691949,9.284212,12.642879,1.0,21.0795,
秋日限定保底,轻享5,688.0,base,fixed,9.752914,8.106398,9.662261,8.785166,10.844028,1.0,13.9665,
秋日限定保底,轻享5,688.0,search,fixed,9.211845,7.932815,9.148301,8.483094,10.037975,1.0,10.359833,
秋日限定保底,轻享6,888.0,pressure,fixed,10.594648,8.264317,10.468359,9.293256,12.072398,1.0,26.665167,
秋日限定保底,轻享6,888.0,base,fixed,9.574335,7.956648,9.491011,8.782092,10.490984,1.0,17.703667,
秋日限定保底,轻享6,888.0,search,fixed,9.06568,7.805541,9.016448,8.486882,9.706938,1.0,13.174667,
秋日限定保底,轻享7,1388.0,pressure,fixed,9.958921,7.772246,9.863845,8.989749,11.033301,1.0,39.093333,
秋日限定保底,轻享7,1388.0,base,fixed,9.037888,7.511145,8.996431,8.474565,9.653759,1.0,26.128667,
秋日限定保底,轻享7,1388.0,search,fixed,8.583774,7.39026,8.554125,8.191809,9.016605,1.0,19.51,
秋日限定保底,顶级1,188.0,pressure,fixed,10.937791,8.538609,10.663014,7.364763,15.826517,1.0,5.804333,双倒/开卡/清图赠送未设虚构发生率；仅计算常规保底部分，是保守机制下界。
秋日限定保底,顶级1,188.0,base,fixed,8.858881,7.365071,8.777288,6.029773,12.113235,1.0,3.460667,双倒/开卡/清图赠送未设虚构发生率；仅计算常规保底部分，是保守机制下界。
秋日限定保底,顶级1,188.0,search,fixed,7.99945,6.888403,7.761477,5.628561,11.010118,1.0,2.465167,双倒/开卡/清图赠送未设虚构发生率；仅计算常规保底部分，是保守机制下界。
秋日限定保底,顶级2,388.0,pressure,fixed,7.882357,6.161558,7.627788,5.708261,10.44737,1.0,8.5695,双倒/开卡/清图赠送未设虚构发生率；仅计算常规保底部分，是保守机制下界。
秋日限定保底,顶级2,388.0,base,fixed,6.942321,5.773387,6.806275,5.373745,8.607782,1.0,5.586,双倒/开卡/清图赠送未设虚构发生率；仅计算常规保底部分，是保守机制下界。
秋日限定保底,顶级2,388.0,search,fixed,6.457709,5.562885,6.356442,5.35045,7.786932,1.0,4.084833,双倒/开卡/清图赠送未设虚构发生率；仅计算常规保底部分，是保守机制下界。
秋日限定保底,顶级3,488.0,pressure,fixed,8.743537,6.833658,8.49439,6.924181,10.826187,1.0,11.974,双倒/开卡/清图赠送未设虚构发生率；仅计算常规保底部分，是保守机制下界。
